operation,trial,ok,expected,got,build_eval_time_s,compact_decrypt_time_s,total_time_s,max_row_support,total_output_nnz
not,3,True,1,1,0.00020635399960156064,0.0006961079998291098,0.0009024619994306704,4,128
not,4,True,0,0,0.00020661499911511783,0.0005633609998767497,0.0007699759989918675,4,127
nand,0,True,0,0,0.0005349289986043004,0.001028317001328105,0.0015632459999324055,8,203
nand,1,True,1,1,0.0005386950015235925,0.0010192039990215562,0.0015578990005451487,7,198
nand,2,True,0,0,0.0005255859996395884,0.0010122229996341048,0.0015378089992736932,8,198
nand,3,True,1,1,0.0005809069989481941,0.001162696000392316,0.00174360299934051,8,212
nand,4,True,1,1,0.0004989469998690765,0.0010364490008214489,0.0015353960006905254,7,185
nor,0,True,0,0,0.0006712310005241306,0.000846558999910485,0.0015177900004346156,9,246
nor,1,True,1,1,0.000600065000980976,0.0010229789986624382,0.0016230439996434143,8,231
nor,2,True,0,0,0.000682486999721732,0.001037039999573608,0.00171952699929534,9,237
nor,3,True,0,0,0.0007146039988583652,0.0009615489998395788,0.001676152998697944,9,265
nor,4,True,0,0,0.0007795909987180494,0.0010637290015438339,0.0018433200002618833,9,249
xnor,0,True,0,0,0.000808292001238442,0.000980396998784272,0.001788689000022714,9,266
xnor,1,True,1,1,0.0006907289989612764,0.001018312001178856,0.0017090410001401324,9,214
xnor,2,True,0,0,0.0007390899991150945,0.0011024570012523327,0.0018415470003674272,9,260
xnor,3,True,0,0,0.0007771769996907096,0.001411111999914283,0.0021882889996049926,10,267
xnor,4,True,0,0,0.0007877920015744166,0.0010544859997025924,0.001842278001277009,9,253
implies,0,True,1,1,0.0006341560001601465,0.0009682180007075658,0.0016023740008677123,9,243
implies,1,True,1,1,0.0005691500009561423,0.0009828999991441378,0.0015520500001002802,10,211
implies,2,True,0,0,0.0005969710000499617,0.001168393000625656,0.0017653640006756177,8,245
implies,3,True,1,1,0.000618733000010252,0.0009568820005370071,0.0015756150005472591,10,235
implies,4,True,1,1,0.0006746149992977735,0.001216134000060265,0.0018907489993580384,10,253
